Symbol,Company,EV,SharesOutstanding,Price,PriceChange,Sector,Industry
HON,Honeywell International Inc.,145437753344,665676992,198.64999389648438,0.1967083105439242,Industrials,Conglomerates
HRL,Hormel Foods Corporation,24665083904,546532992,40.66999816894531,1.1439894776058483,Consumer Defensive,Packaged Foods
HST,"Host Hotels & Resorts, Inc.",15829091328,712486976,16.2549991607666,1.7208958746345502,Real Estate,REIT—Hotel & Motel
HWM,Howmet Aerospace Inc.,18536237056,411804000,45.084999084472656,0.27802287471676024,Industrials,Aerospace & Defense
HPQ,HP Inc.,39901265920,985328000,30.225000381469727,0.3486068441889959,Technology,Computer Hardware
HUM,Humana Inc.,50009178112,124945000,527.6900024414062,-1.0073908300367118,Healthcare,Healthcare Plans
HBAN,Huntington Bancshares Incorporated,27156234240,1443609984,10.404999732971191,1.0194148832154435,Financial Services,Banks—Regional
HII,"Huntington Ingalls Industries, Inc.",10576834560,39925700,197.7100067138672,0.4981480780090468,Industrials,Aerospace & Defense
IBM,International Business Machines Corporation,158000971776,908044992,124.87999725341797,-0.22371584098915617,Technology,Information Technology Services
IEX,IDEX Corporation,16710515712,75576400,207.9199981689453,0.5756291631332283,Industrials,Specialty Industrial Machinery
IDXX,"IDEXX Laboratories, Inc.",41946984448,82903400,475.07501220703125,1.646414525018455,Healthcare,Diagnostics & Research
ITW,Illinois Tool Works Inc.,71504920576,304820992,233.16000366210938,-0.5247648525494311,Industrials,Specialty Industrial Machinery
ILMN,"Illumina, Inc.",32300279808,158052000,196.92999267578125,0.906944392181417,Healthcare,Diagnostics & Research
INCY,Incyte Corporation,15598632960,223086000,68.80000305175781,-1.6580859751889383,Healthcare,Biotechnology
IR,Ingersoll Rand Inc.,24444026880,404956992,57.345001220703125,0.4290739416867313,Industrials,Specialty Industrial Machinery
INTC,Intel Corporation,151464296448,4171000064,30.545000076293945,2.6032921608798985,Technology,Semiconductors
ICE,"Intercontinental Exchange, Inc.",76555558912,559699008,106.48500061035156,-0.5835117072621016,Financial Services,Financial Data & Stock Exchanges
IFF,International Flavors & Fragrances Inc.,35913568256,255067008,95.29000091552734,-0.8944348252445781,Basic Materials,Specialty Chemicals
IP,International Paper Company,17167172608,347056992,32.79499816894531,1.4696725524298027,Consumer Cyclical,Packaging & Containers
IPG,"The Interpublic Group of Companies, Inc.",16852384768,386032992,35.724998474121094,0.23849179046322438,Communication Services,Advertising Agencies
INTU,Intuit Inc.,128053280768,280545984,437.4150085449219,0.2188078048210364,Technology,Software—Application
ISRG,"Intuitive Surgical, Inc.",101561925632,350398016,304.5400085449219,1.1021872866748048,Healthcare,Medical Instruments & Supplies
IVZ,Invesco Ltd.,9589543936,458200000,16.844999313354492,2.588302760989589,Financial Services,Asset Management
IPGP,IPG Photonics Corporation,5616669184,47305400,117.9000015258789,-1.495528844616168,Technology,Semiconductor Equipment & Materials
